Causa,2022,2023
Accidentes,7.3,5.5
Tumores malignos,5.4,5.0
Lesiones autoinfligidas intencionalmente,1.1,1.7
Agresiones,1.2,1.4
Malformaciones congénitas, deformidades y anomalías cromosómicas,1.2,1.1
Influenza y neumonía,0.9,0.9
Enfermedades del corazón,0.5,0.9
Otras causas,13.7,11.3
